10/10/2014 11:13:13 AM New Instance of BeckmanFileHandler! Started: 
10/10/2014 11:13:13 AM Source path = C:\Program Files\Beckman Coulter\LS 6000 WinConnection Suite 1.1\NSRL Data\USER04\
10/10/2014 11:13:13 AM Destination path = C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\
10/10/2014 11:24:22 AM New Instance of BeckmanFileHandler! Started: 
10/10/2014 11:24:22 AM Source path = C:\Program Files\Beckman Coulter\LS 6000 WinConnection Suite 1.1\NSRL Data\USER04\
10/10/2014 11:24:22 AM Destination path = C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\
10/10/2014 11:25:10 AM New Instance of BeckmanFileHandler! Started: 
10/10/2014 11:25:10 AM Source path = C:\Program Files\Beckman Coulter\LS 6000 WinConnection Suite 1.1\Data\USER04\
10/10/2014 11:25:10 AM Destination path = C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\
10/10/2014 6:36:26 PM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00060.xls, 1 move attempts required.
10/10/2014 6:43:51 PM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00061.xls, 1 move attempts required.
10/10/2014 6:51:20 PM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00062.xls, 2 move attempts required.
10/10/2014 6:58:54 PM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00063.xls, 2 move attempts required.
10/10/2014 7:06:31 PM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00064.xls, 2 move attempts required.
10/10/2014 7:14:04 PM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00065.xls, 2 move attempts required.
10/10/2014 7:21:18 PM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00066.xls, 2 move attempts required.
10/10/2014 7:28:43 PM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00067.xls, 2 move attempts required.
10/10/2014 7:36:16 PM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00068.xls, 2 move attempts required.
10/10/2014 7:43:50 PM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00069.xls, 2 move attempts required.
10/10/2014 7:51:25 PM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00070.xls, 2 move attempts required.
10/10/2014 7:58:49 PM Moving file... Old file path: SN101001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Pre-irradiation\MeasurementNo00071.xls, 2 move attempts required.
