10/20/2014 3:13:25 PM New Instance of BeckmanFileHandler! Started: 
10/20/2014 3:13:25 PM Source path = C:\Program Files\Beckman Coulter\LS 6000 WinConnection Suite 1.1\Data\USER04\
10/20/2014 3:13:25 PM Destination path = C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\
10/20/2014 10:31:27 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00065.xls, 2 move attempts required.
10/20/2014 10:38:49 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00066.xls, 2 move attempts required.
10/20/2014 10:46:12 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00067.xls, 2 move attempts required.
10/20/2014 10:53:35 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00068.xls, 2 move attempts required.
10/20/2014 11:00:56 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00069.xls, 1 move attempts required.
10/20/2014 11:02:26 PM Moving file... Old file path: UN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00070.xls, 1 move attempts required.
10/20/2014 11:08:48 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00071.xls, 2 move attempts required.
10/20/2014 11:16:08 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00072.xls, 1 move attempts required.
10/20/2014 11:23:30 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00073.xls, 1 move attempts required.
10/20/2014 11:30:53 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00074.xls, 2 move attempts required.
10/20/2014 11:38:14 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00075.xls, 1 move attempts required.
10/20/2014 11:45:37 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00076.xls, 2 move attempts required.
10/20/2014 11:52:59 PM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00077.xls, 1 move attempts required.
10/21/2014 12:00:22 AM Moving file... Old file path: SN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00078.xls, 2 move attempts required.
10/21/2014 12:07:44 AM Moving file... Old file path: SN102101.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00079.xls, 1 move attempts required.
10/21/2014 12:09:14 AM Moving file... Old file path: UN102001.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00080.xls, 1 move attempts required.
10/21/2014 12:15:35 AM Moving file... Old file path: SN102101.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00081.xls, 1 move attempts required.
10/21/2014 12:22:55 AM Moving file... Old file path: SN102101.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00082.xls, 2 move attempts required.
10/21/2014 12:30:17 AM Moving file... Old file path: SN102101.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00083.xls, 2 move attempts required.
10/21/2014 12:37:39 AM Moving file... Old file path: SN102101.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00084.xls, 2 move attempts required.
10/21/2014 12:45:00 AM Moving file... Old file path: SN102101.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00085.xls, 1 move attempts required.
10/21/2014 12:52:22 AM Moving file... Old file path: SN102101.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00086.xls, 1 move attempts required.
