10/22/2014 5:51:43 PM New Instance of BeckmanFileHandler! Started: 
10/22/2014 5:51:43 PM Source path = C:\Program Files\Beckman Coulter\LS 6000 WinConnection Suite 1.1\Data\USER04\
10/22/2014 5:51:43 PM Destination path = C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\
10/23/2014 1:52:39 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00064.xls, 1 move attempts required.
10/23/2014 2:00:09 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00065.xls, 2 move attempts required.
10/23/2014 2:01:19 AM Moving file... Old file path: UN102201.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00066.xls, 1 move attempts required.
10/23/2014 2:07:42 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00067.xls, 2 move attempts required.
10/23/2014 2:15:00 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00068.xls, 1 move attempts required.
10/23/2014 2:22:21 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00069.xls, 2 move attempts required.
10/23/2014 2:29:40 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00070.xls, 1 move attempts required.
10/23/2014 2:37:00 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00071.xls, 1 move attempts required.
10/23/2014 2:44:21 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00072.xls, 2 move attempts required.
10/23/2014 2:51:43 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00073.xls, 2 move attempts required.
10/23/2014 2:59:03 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00074.xls, 2 move attempts required.
10/23/2014 3:06:24 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00075.xls, 2 move attempts required.
10/23/2014 3:13:44 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00076.xls, 1 move attempts required.
10/23/2014 3:21:04 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00077.xls, 1 move attempts required.
10/23/2014 3:28:34 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00078.xls, 2 move attempts required.
10/23/2014 3:35:45 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00079.xls, 2 move attempts required.
10/23/2014 3:43:05 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00080.xls, 1 move attempts required.
10/23/2014 3:50:28 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00081.xls, 2 move attempts required.
10/23/2014 3:57:52 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00082.xls, 1 move attempts required.
10/23/2014 4:05:16 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00083.xls, 2 move attempts required.
10/23/2014 4:12:38 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00084.xls, 1 move attempts required.
10/23/2014 4:20:01 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00085.xls, 1 move attempts required.
10/23/2014 4:27:25 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00086.xls, 1 move attempts required.
10/23/2014 4:34:48 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00087.xls, 1 move attempts required.
